company_id,transaction_date,account_id,transaction_name,amount
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","2195.08"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","5060.88"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","5063.9"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","146.78"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","4324.32"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","269.2"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","7116.66"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","146.78"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","196.34"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","335.6"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","4324.32"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","2335.2"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","269.2"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","1345.12"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","2967.58"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","7116.66"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","2195.08"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","196.34"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","5060.88"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","196.34"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","5063.9"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","3918.24"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","335.6"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","3457.8"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","7116.66"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","2346.44"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","337.76"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","12180"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","1320.93"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","2335.2"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","3918.24"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","3457.8"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","269.2"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","1320.93"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","1345.12"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","12180"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","2346.44"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","2967.58"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","3457.8"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","4324.32"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","3918.24"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","2195.08"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","5063.9"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","5060.88"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","5060.88"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","2195.08"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","146.78"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","2967.58"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","5063.9"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","1345.12"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","2335.2"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","3918.24"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","337.76"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","335.6"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","3457.8"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","196.34"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","7116.66"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","2346.44"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","269.2"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","4324.32"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","12180"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","146.78"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","2346.44"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","12180"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","1320.93"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","1320.93"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","1320.93"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","12180"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","2346.44"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-3121.63"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-2182.44"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-677.28"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-889.6"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-1064.88"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-1695.74"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-1064.88"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-225.44"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-1990.65"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-222.8"
